IsSpam;Text
1;Кредит с доставкой к Вам от 2% до 1 млн.р.: bit.ly/sinara-credit
0;Привет, пошли гулять
1;Томаты Черри, горячее сердце/клубничный поцелуй, 200г за 99,99? до 29 мая в Магнит. До -70% на сковороды ROYAL KUCHEN! clck.ru/34Vubc
0;Что делаешь?
1;?410? на первый заказ в магазине от 1500?. Промокод — 410NEW
0;Доров, как ты?
1;Финальная распродажа! ЛЕТО цены ПОПОЛАМ! Francesco.ru
0;Купи пожалуйста молока
1;МЯУ ?? В ЛЭТУАЛЬ черная пятница ЛЕТОМ! Скидки до 80%! ?? letu.ru/jp
0;Пришли мне до завтра задание
1;Молоко Светаево, 3,2%, 1 л – 59 р Горошек Greenola, зелёный, молодой, 400 г – 49 р Чижик – продукты по улётным ценам! Адрес: Москва, Мастеровая, 17/1к2 Цены действительны до 21.06.2023
0;Сегодня отчёт не надо присылать
1;Вам 60 дней подписки Прайм за 1?, подключайтесь cutt.ly/i4uN1YB
0;Пожалуйста, пришли мне номер телефона Юлии
1;Безграничный кешбэк 10% на баланс телефона за бронирование отелей через «Яндекс Путешествия х билайн»! http://cm.beeline.ru/i/ERkqNaBxAH7lRRFG  Акция доступна с 24.04.2023 г. по 31.05.2023 г. Организатор, сроки, порядок проведения акции, а также условия зачисления кешбэка по ссылке выше.
0;Здравствуй, у тебя нет почты Преподавательницы?
1;3=2 на ТИХИЕ ВИНА, ВОДКУ, БРЕНДИ по вашей карте 16.06 lenta.com/ZiXW
0;Ты сегодня занят?
1;СУПЕРСКИДКИ! ШОРТЫ от 449, МАЙКИ от 199, ПЛАТЬЯ от 349, ДЖИНСЫ от 599!
0;Ваш заказ прибыл на пункт выдачи. Номер заказа 34406023
1;??Анна, оформите дебетовую карту MTS Cashback Мир: - снятие наличных до 100 тыс. руб. в мес. без комиссии в любых банкоматах. Кешбэк: - 5% в супермаркетах ??(с подпиской Premium), - 5% на доставку еды, в кафе и ресторанах ??, магазинах одежды,  - 1% на остальные покупки ???  ??Закажите карту с бесплатной доставкой l.mts.ru/1/dcard
0;Здравствуйте, Лев Николаевич, я вам скидывал презентацию проетка
1;"-30% на 1й заказ питомцам в СберМаркет от 1500р Код ""09J"" до 30.06.23 https://m.mrktlg.com/gZWoy5ho8x/SBERMARKET  ООО ""Инстамарт Сервис"", г. Москва, Садовническая ул, д. 9а, этаж/помещ./ком. 5/I/1, ОГРН 1187746494980 6+"
0;Срок сдачи книги подошёл к концу, сдайте её в ближайшее отделение
1;До 26.06 бекон Дымов??, 200г (3445554) со скидкой 56% за 129,99? с картой**0082 в Перекрёстке: ул. 30 лет Победы, 46
0;Вы записались на приём к  терапевту: Мансуровне Галине Росивне
1;Быстро деньги? Выбирайте на портале займов clck.ru/sR4os
0;Заявление на перенос номера одобрен 
1;В ЕвроОбувь скидки до -50%на Рикер и Ремонте!Успейте до повышение цен!
0;Привет, дорогой, ты как поживаешь? Нормально всё? А то ни слуху ни духу 
1;"Найдите в SUNLIGHT идеальный подарок для нее! Золотое ?? с 55 бриллиантами за 9990р! Скидки на все золото до -80%! https://lvsl.ru/lsv ООО ""Солнечный свет"" ОГРН 1167746485940 г. Москва, ул. Герасима Курина, 10к1 (18+)"
0;Ты уверен что твоя идея нормальная?
1;Увеличим ваше пополнение бонусом 3000? ? pmbet.cc/BP0S2D8v
0;Не забудь купить акции Газпрома 
1;Здравствуйте.  Коллеги из МегаФона поделились промокодом на смартфоны Xiaomi! Выберите свой: - Xiaomi Redmi 10 (2022) 4/64 ГБ со скидкой 3000 рублей  - Xiaomi Redmi 10C 4/64 ГБ со скидкой 2500 рублей  - Xiaomi Redmi 12 4/128 ГБ со скидкой 2000 рублей   Чтобы воспользоваться предложением, укажите промокод GYXM2CUMYP при покупке одного из смартфонов в МегаФоне до 31.07.2023.  Подробнее: www.megafon.ru/go/xmi_12j  Можно. Yota
0;Оплатите штраф на сайте гос услуги
1;-20% на МЯСО и -40% на СКОВОРОДЫ 29-30.06 в Гипер Ленте lenta.com/yGWC
0;Ваш товар был остановлен на таможне, просим вас оплатить пошлину
1;-50% на ИГРУШКИ И ПОДГУЗНИКИ 16.12 Есть ограничения lenta.com/8No1
0;Ваш код подтверждения — 547825. Из соображений безопасности не сообщайте никому этот код.
1;Теннис в Женеве! Фрибет уже ждет тебя: i.pari.ru/t01
0;Нет проблем, будет сделано к полднику
1;Открытие BohoRoom, дарим 500р UDS на покупку! Форум 2эт. 89021609780
0;Не снимай эти дурацкие видео, раздражает
1;До 400 бонусов СберСпасибо за заказ из любого магазина от 1490? с промокодом bn29yr14ir. Только до 30.06!
0;На вашей теритроии замечено движение
1;Тополиный пух, жара, июль??: 2.000р сегодня и 100.000р в субботу можешь выиграть именно ты! Присоединяйся?https://toloto.by
0;Произошло задымление в помещении, не забудьте взять документы и выйти без паники на улицу, используйте лифт для безопасного передвижения
1;?? -30% на Уход для Лица до 15/02! Код: ЛИЦО Детали в бутике
0;Ты бы не мог купить кфс сегодня 
1;Спецпредложение еКапуста - скидка 15%! Возьмите займ до 31.07.2023 и получите скидку 15%! Для этого укажите промокод: RVEG
0;Ты вообще не подозревал, что сегодня выпускной нашей дочки!!!!!!!
1;Вы Пакет забыли! В 10 раз больше баллов в Пятёрочке и Перекрёстке и другие привилегии! Подключайтесь за 1? с промо CRM76 (до 31.07) clc.to/g20JF
0;Вы забронировали место в ресторане Лотос на 18:00 
1;3=2 на ТИХИЕ ВИНА, ВОДКУ, БРЕНДИ по вашей карте 16.06 lenta.com/ZiXW
0;Вы подписались на курсы по английскому языку Инглиш гуд 
1;Вячеслав, скидки до 50%! Участвуйте в РАСПРОДАЖЕ Hoff до 31.07 l.hoff.ru/nUfs8
0;Мне кажется, или ты не спал больше 3 суток?
1;До 9.07 дарим кешбэк 300р за чек от 800р! Кешбэк действ. 10.07-16.07
0;Я торт забыла купить! Купи в Пятёрочке прагу плииииз)
1;Финальная распродажа! ЛЕТО цены ПОПОЛАМ! Francesco.ru
0;Мне плохо, зайди в аптеку за таблетками
1;-30% на всё ко Дню России до 12.06.23 в KARI Обувь,детство,спорт
0;Я невероятно устал писать что-либо
1;МЯУ ?? В ЛЭТУАЛЬ черная пятница ЛЕТОМ! Скидки до 80%! ?? letu.ru/jp
0;На вашей карте обнаружены подозрительные транзакции, позвоните в банк и подтвердите, что вы согласны провести транзакции
